comuna,Carolina Goic Boroevic,Jose Antonio Kast Rist,Sebastian Piniera Echenique,Alejandro Guillier Alvarez,Beatriz Sanchez Munioz,Marco Enriquez-ominami Gumucio,Eduardo Artes Brichetti,Alejandro Navarro Brain,Votos Nulos,Votos Blancos,ganador
Algarrobo,405,338,2974,1170,1099,247,24,12,36,24,2
Alhue,222,62,731,571,440,116,12,8,24,17,2
Alto Biobio,80,52,923,419,201,53,10,32,68,38,2
Alto Hospicio,868,2070,5552,3630,4492,1743,82,54,117,76,2
Alto del Carmen,104,68,800,476,296,123,15,6,15,24,2
Ancud,1057,1103,5529,3458,3008,806,91,61,210,161,2
Andacollo,322,99,1702,1614,980,280,37,14,64,48,2
Angol,1218,3076,9302,3704,2334,1066,111,52,244,181,2
Antofagasta,4108,8162,37567,24703,25061,7121,403,246,937,307,2
Antuco,198,127,808,424,153,95,11,5,26,25,2
Arauco,823,2288,4162,3720,2035,819,82,119,162,144,2
Arica,2767,7974,20386,17610,16574,4426,245,293,646,308,2
Aysen,663,635,2725,2606,1495,450,40,33,75,73,2
Buin,1674,3886,11454,6156,6056,1877,183,94,303,175,2
Bulnes,751,605,4071,2438,1081,395,62,55,119,103,2
Cabildo,728,387,2227,2334,1944,474,60,15,79,83,3
Cabo de Hornos,113,185,236,91,131,11,3,1,0,8,2
Cabrero,1041,1351,4133,2113,1229,708,52,104,152,159,2
Calama,1943,5182,17373,11646,10107,3326,227,140,478,167,2
Calbuco,780,953,4603,2296,2106,637,63,58,171,226,2
Caldera,202,233,2157,1881,1157,401,30,14,48,30,2
Calera,1079,1111,6909,4710,4695,1554,98,39,217,112,2
Calera de Tango,622,907,5245,2042,2031,678,55,27,126,77,2
Calle Larga,275,267,1917,1787,806,308,26,17,51,26,2
Camarones,66,62,350,338,225,73,2,6,14,7,2
Caminia,10,42,445,124,78,44,3,2,15,1,2
Canela,247,93,1112,2115,298,91,28,19,38,57,3
Caniete,605,1282,4706,2975,1440,633,57,67,163,120,2
Carahue,629,986,4310,2681,869,446,58,43,131,109,2
Cartagena,324,378,3282,2191,1488,584,26,17,82,29,2
Casablanca,777,563,3819,2026,2286,528,39,35,99,67,2
Castro,1039,1194,5116,4197,3250,813,120,63,136,134,2
Catemu,275,225,1874,1626,904,351,26,18,53,59,2
Cauquenes,1030,1262,8915,3060,1630,762,84,62,229,183,2
Cerrillos,1409,2151,10348,8105,6984,2337,182,78,249,102,2
Cerro Navia,1894,3707,13951,14486,10716,4574,440,163,555,286,3
Chaiten,117,89,603,358,166,46,6,13,8,31,2
Chanco,224,428,2114,989,354,162,14,24,70,80,2
Chaniaral,205,117,1898,1540,899,270,22,14,48,39,2
Chepica,351,248,2746,1251,586,252,14,16,59,43,2
Chiguayante,1888,3310,10216,7529,7229,2003,169,407,328,131,2
Chile Chico,191,96,650,723,214,68,15,17,21,66,3
Chillan,3879,7027,25682,19036,10820,3323,315,253,563,367,2
Chillan Viejo,590,1018,3779,2782,1443,565,38,54,109,66,2
Chimbarongo,1027,680,5736,3707,2254,734,44,42,105,103,2
Cholchol,266,522,2040,1142,566,336,23,26,89,84,2
Chonchi,454,268,2099,1171,919,259,32,14,56,76,2
Cisnes,123,134,744,391,253,57,12,4,15,31,2
Cobquecura,115,90,1384,783,255,67,8,13,21,19,2
Cochamo,78,68,768,251,194,57,6,4,21,31,2
Cochrane,128,107,578,384,105,32,9,4,11,25,2
Codegua,390,260,1893,1108,943,323,25,8,45,44,2
Coelemu,476,665,3008,1938,988,379,46,66,100,81,2
Coihueco,624,783,4589,2510,703,309,46,51,110,110,2
Coinco,161,137,1336,713,545,149,10,5,29,37,2
Colbun,465,691,3323,2112,1190,542,40,38,102,119,2
Colchane,15,61,413,61,35,35,1,8,13,4,2
Colina,1778,3032,19871,5094,5118,1793,133,131,399,224,2
Collipulli,482,1269,3547,2299,875,581,63,61,141,167,2
Coltauco,416,325,2595,1794,1017,429,45,30,54,66,2
Combarbala,362,165,1488,2436,579,199,41,26,53,60,3
Concepcion,6726,9079,35400,18008,20465,4550,471,1144,836,367,2
Conchali,2594,3135,17226,14884,12487,4175,344,180,555,214,2
Concon,1137,2025,9093,2982,4135,818,78,26,182,89,2
Constitucion,895,1357,6512,4648,2721,1275,105,57,199,180,2
Contulmo,97,169,1189,777,191,92,9,11,36,24,2
Copiapo,1785,2449,22298,11497,10457,2520,223,117,333,218,2
Coquimbo,4008,3843,25794,14700,15082,3857,324,164,568,399,2
Coronel,1557,7898,10540,10941,6722,2249,233,877,436,244,3
