comuna,Sebastian Piniera Echenique,Alejandro Guillier Alvarez,Votos Nulos,Votos Blancos,ganador
Algarrobo,4138,2519,34,5,0
Alhue,1028,1425,13,5,1
Alto Biobio,1243,701,47,17,0
Alto Hospicio,9969,7466,115,32,0
Alto del Carmen,1066,847,9,7,0
Ancud,8198,7774,122,40,0
Andacollo,2295,3130,42,21,1
Angol,15791,7184,135,50,0
Antofagasta,58778,49813,1004,213,0
Antuco,1196,827,8,9,0
Arauco,8341,6736,105,58,0
Arica,34075,33703,545,140,0
Aysen,3842,4852,59,20,1
Buin,19595,13361,270,81,0
Bulnes,6115,4314,60,27,0
Cabildo,3415,5056,57,27,1
Cabo de Hornos,378,207,5,3,0
Cabrero,7575,4665,106,51,0
Calama,29473,21768,462,88,0
Calbuco,7131,5230,107,66,0
Caldera,3025,3297,39,15,1
Calera,10509,10471,173,57,0
Calera de Tango,7692,4521,101,32,0
Calle Larga,2879,2744,35,4,0
Camarones,467,468,8,1,1
Caminia,617,179,3,4,0
Canela,1528,2938,25,21,1
Caniete,8101,5529,95,43,0
Carahue,6595,4499,76,27,0
Cartagena,4674,4265,63,9,0
Casablanca,5990,4786,94,22,0
Castro,8030,8890,113,35,1
Catemu,2797,3010,31,23,1
Cauquenes,13399,5980,143,43,0
Cerrillos,16424,16410,256,61,0
Cerro Navia,23423,28476,426,108,1
Chaiten,715,632,6,10,0
Chanco,3346,1835,35,15,0
Chaniaral,2391,2379,26,12,0
Chepica,4052,2476,26,11,0
Chiguayante,17611,16324,321,84,0
Chile Chico,771,1065,10,4,1
Chillan,43282,33698,508,174,0
Chillan Viejo,6488,4848,79,25,0
Chimbarongo,8448,6247,93,36,0
Cholchol,3084,2073,62,26,0
Chonchi,3033,2818,33,23,0
Cisnes,984,821,14,10,0
Cobquecura,1924,1319,15,5,0
Cochamo,967,578,9,11,0
Cochrane,745,605,10,10,0
Codegua,3012,2443,45,15,0
Coelemu,4831,3594,62,19,0
Coihueco,7017,4009,75,26,0
Coinco,1942,1546,23,13,0
Colbun,4789,3380,43,9,0
Colchane,814,76,4,0,0
Colina,29052,10924,293,96,0
Collipulli,6148,4119,69,27,0
Coltauco,3857,3348,44,17,0
Combarbala,1980,3557,21,20,1
Concepcion,57087,44174,939,308,0
Conchali,27084,30608,444,116,1
Concon,13491,7509,241,85,0
Constitucion,10679,8676,116,54,0
Contulmo,1887,1202,28,8,0
Copiapo,31266,21269,306,99,0
Coquimbo,38633,31154,583,156,0
Coronel,22427,19562,404,119,0
Corral,982,1691,23,8,1
Coyhaique,10173,10970,131,48,1
Cunco,5211,3277,46,26,0
Curacautin,5248,2795,45,18,0
Curacavi,6953,6029,94,36,0
Curaco de Velez,735,963,11,13,1
Curanilahue,8056,6511,92,54,0
Curarrehue,2289,1155,23,10,0
Curepto,2418,2693,39,33,1
Curico,32440,26229,401,130,0
Dalcahue,2363,2367,33,19,1
Diego de Almagro,1684,3031,41,9,1
Doniihue,4620,4153,65,20,0
El Bosque,30967,33742,438,147,1
El Carmen,4473,1996,30,14,0
El Monte,7349,6384,92,37,0
El Quisco,3489,3170,31,11,0
El Tabo,2694,2635,30,6,0
Empedrado,1819,545,22,9,0
Ercilla,2033,1445,24,8,0
Estacion Central,26034,30991,440,113,1
Florida,3267,2020,45,30,0
Freire,6093,4113,91,42,0
Freirina,1147,1522,16,7,1
Fresia,3390,3017,22,19,0
Frutillar,4534,3714,51,17,0
Futaleufu,639,381,9,4,0
Futrono,4119,2507,40,21,0
Galvarino,2867,2662,49,21,0
General Lagos,168,150,5,3,0
Gorbea,5524,2242,41,21,0
Graneros,7045,6385,96,35,0
Guaitecas,362,255,1,0,0
Hijuelas,4297,3000,51,20,0
Hualaihue,1999,1395,25,19,0
Hualanie,2594,2696,23,12,1
Hualpen,20516,19246,367,109,0
Hualqui,5139,4241,98,37,0
Huara,934,554,12,2,0
Huasco,1709,1986,23,6,1
Huechuraba,18647,17699,379,131,0
Illapel,5029,7071,59,31,1
Independencia,17653,17330,290,83,0
Iquique,38382,27026,496,117,0
Isla de Maipo,7631,5672,87,27,0
Isla de Pascua,719,1009,15,5,1
Juan Fernandez,149,161,2,1,1
La Cisterna,22380,20535,343,83,0
La Cruz,4739,3230,42,17,0
La Estrella,1067,834,5,3,0
La Florida,77064,82345,1354,414,1
La Granja,20521,26415,326,106,1
La Higuera,991,869,16,7,0
La Ligua,7824,7690,101,25,0
La Pintana,22084,28638,395,130,1
La Reina,34035,22044,755,379,0
La Serena,43465,34947,556,205,0
La Union,10324,6933,127,34,0
Lago Ranco,2902,1547,34,15,0
Lago Verde,288,200,2,6,0
Laguna Blanca,171,123,0,0,0
Laja,6819,3529,88,30,0
Lampa,14390,10276,181,55,0
Lanco,4312,3393,38,23,0
Las Cabras,5034,4322,45,21,0
Las Condes,133436,29782,1958,831,0
Lautaro,9929,5827,125,37,0
Lebu,4990,4903,112,62,0
Licanten,1829,1804,19,9,0
Limache,10106,7978,156,41,0
Linares,24309,15140,234,66,0
Litueche,1894,1451,17,7,0
Llanquihue,3917,3979,65,21,1
Llay-Llay,4629,5449,78,22,1
Lo Barnechea,42203,6645,399,143,0
Lo Espejo,16672,24053,272,104,1
