Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
PAÍS;8.601.989 ;594.059 ;618.121 ;585.855 ;636.064 ;702.706 ;742.265 ;645.359 ;595.608 ;586.674 ;562.483 ;569.852 ;499.406 ;399.562 ;303.259 ;232.909 ;155.526 ;94.996 ;53.469 ;18.029 ;4.188 ;1.599 
ARICA;109.389;8.123;8.697;7.956;9.168;9.391;9.377;8.192;7.343;7.143;6.596;6.201;5.481;5.035;3.770;3.033;1.904;1.108;619;208;34;10
CAMARONES;726;32;38;34;29;46;65;52;51;59;48;56;57;54;39;28;20;10;5;2;0;1
PUTRE;2.054;42;44;45;465;243;191;189;189;164;126;95;91;54;35;29;26;15;9;1;1;0
GENERAL LAGOS;412;16;18;15;27;48;48;36;33;24;27;17;24;25;19;16;11;4;3;1;0;0
IQUIQUE;94.897;7.186;7.200;6.410;6.597;7.574;8.896;8.180;7.393;6.586;5.696;5.591;5.052;4.613;3.089;2.208;1.236;744;439;161;31;15
ALTO HOSPICIO;54.206;5.365;5.492;4.862;4.836;5.050;5.005;4.284;3.801;3.369;3.087;3.015;2.253;1.655;1.003;589;277;145;76;25;8;9
POZO ALMONTE;8.987;617;641;526;848;764;800;819;749;705;544;536;462;366;220;190;99;65;26;8;1;1
CAMIÑA;657;50;43;40;46;42;44;41;25;55;44;45;40;34;27;28;21;16;10;3;2;1
COLCHANE;995;41;43;42;71;98;122;98;83;77;58;48;43;59;39;29;27;9;5;2;1;0
HUARA;1.501;98;130;96;76;98;113;107;103;85;108;100;100;74;77;52;44;20;12;6;1;1
PICA;6.550;196;223;183;178;291;740;902;907;827;728;517;324;208;115;91;58;27;21;11;3;0
ANTOFAGASTA;181.846;12.815;13.581;12.462;14.146;17.015;17.765;15.352;14.031;13.618;11.862;10.745;9.311;7.235;4.768;3.192;1.966;1.131;593;196;30;32
MEJILLONES;8.035;462;470;423;397;613;884;781;705;721;701;672;491;325;183;97;64;24;14;7;1;0
SIERRA GORDA;8.662;55;68;51;62;447;1.161;1.407;1.405;1.394;1.090;770;448;214;58;16;9;4;2;1;0;0
TALTAL;7.481;470;509;480;411;464;674;620;617;618;589;566;470;385;226;167;107;66;28;11;2;1
CALAMA;86.049;6.386;6.354;6.016;6.346;6.596;8.034;7.548;7.371;6.796;5.891;5.622;4.613;3.409;2.124;1.410;740;453;230;79;20;11
OLLAGÜE;207;10;8;15;8;12;26;18;28;20;21;16;10;7;2;2;1;2;1;0;0;0
SAN PEDRO DE ATACAMA;6.161;303;335;279;218;426;792;724;735;617;492;380;311;229;122;73;60;38;19;4;4;0
TOCOPILLA;12.481;1.016;1.101;945;912;824;974;909;802;785;784;786;802;658;475;316;198;109;60;15;6;4
MARÍA ELENA;4.092;148;188;166;158;247;431;475;458;437;385;383;264;186;98;34;20;10;4;0;0;0
COPIAPÓ;76.627;6.069;6.303;5.684;6.045;6.475;6.785;5.819;5.318;4.968;4.938;4.788;4.139;3.256;2.215;1.559;1.097;680;354;102;21;12
CALDERA;9.094;628;731;678;647;670;686;655;617;586;551;667;609;507;330;224;146;102;46;9;3;2
TIERRA AMARILLA;7.796;523;585;512;515;607;687;590;616;641;587;587;463;332;208;147;92;70;27;3;1;3
CHAÑARAL;6.270;494;548;483;446;445;531;452;407;388;390;389;377;299;211;165;118;77;33;11;3;3
DIEGO DE ALMAGRO;7.486;534;617;556;459;405;566;600;641;617;595;512;475;384;225;124;90;43;35;5;1;2
VALLENAR;25.422;1.997;2.061;2.005;1.741;1.692;2.022;1.785;1.627;1.524;1.633;1.770;1.440;1.267;926;763;550;362;181;59;14;3
ALTO DEL CARMEN;2.925;183;181;169;123;145;195;221;206;225;232;223;184;160;158;117;90;55;34;16;5;3
FREIRINA;3.557;303;290;237;204;233;282;236;213;209;224;286;231;173;137;116;92;45;28;16;2;0
HUASCO;5.243;408;398;382;288;299;438;388;349;333;324;399;360;306;204;160;107;60;29;7;3;1
LA SERENA;105.836;7.923;8.285;7.722;9.140;9.846;9.034;7.383;6.636;6.710;6.451;6.365;5.553;4.579;3.501;2.715;1.847;1.224;635;199;65;23
COQUIMBO;109.872;8.891;9.096;8.019;8.550;9.111;9.178;7.855;7.022;7.141;6.899;6.633;5.850;5.033;3.774;2.919;1.849;1.121;644;231;43;13
ANDACOLLO;5.519;426;422;398;396;372;399;334;323;333;354;428;344;293;209;181;146;94;46;15;6;0
LA HIGUERA;2.236;170;166;151;147;130;130;103;144;149;167;177;161;137;104;100;50;24;21;4;1;0
PAIGUANO;2.240;127;147;136;131;126;181;142;133;156;175;150;182;134;101;75;71;30;33;9;1;0
VICUÑA;13.792;978;1.122;979;990;969;1.032;925;817;924;947;960;825;721;493;423;297;222;120;36;9;3
ILLAPEL;14.739;1.083;1.155;1.135;1.093;876;965;978;880;884;1.015;992;1.015;761;660;523;337;240;104;31;10;2
CANELA;4.632;285;323;275;243;260;280;235;248;284;310;359;328;300;271;192;175;135;90;32;5;2
LOS VILOS;11.061;808;812;750;650;763;864;878;702;707;740;791;711;563;438;329;268;174;81;21;9;2
SALAMANCA;15.712;949;1.038;988;855;890;1.258;1.301;1.222;1.253;1.256;1.160;1.000;788;604;467;301;211;112;45;10;4
OVALLE;53.619;4.314;4.336;4.043;3.959;3.905;4.226;3.617;3.326;3.513;3.296;3.410;3.141;2.536;1.921;1.523;1.129;757;487;120;45;15
COMBARBALÁ;6.656;396;429;419;338;326;399;378;403;507;506;532;460;415;326;292;256;147;94;24;8;1
MONTE PATRIA;15.270;1.223;1.177;1.123;1.087;1.019;1.028;917;917;953;1.079;1.092;932;773;592;520;396;245;147;33;13;4
PUNITAQUI;5.452;399;458;415;348;316;350;348;336;325;344;365;326;298;268;218;163;112;41;18;3;1
RÍO HURTADO;2.138;92;123;154;110;117;132;140;119;128;142;162;165;166;105;108;81;37;36;13;7;1
VALPARAÍSO;144.945;9.129;9.118;8.738;11.291;14.799;13.507;10.597;9.520;8.866;8.561;9.204;8.434;6.993;5.572;4.482;2.823;1.794;1.059;353;72;33
CASABLANCA;13.346;940;900;875;934;1.060;1.082;882;878;934;930;967;852;605;495;368;304;189;101;36;13;1
CONCÓN;20.321;1.329;1.473;1.439;1.621;1.825;1.608;1.343;1.270;1.307;1.354;1.438;1.249;991;718;600;355;239;117;37;8;0
JUAN FERNÁNDEZ;499;34;37;28;20;20;54;52;45;37;38;34;25;30;23;9;5;4;3;0;0;1
PUCHUNCAVÍ;9.358;622;665;636;599;651;650;670;566;627;632;657;625;506;421;336;237;154;81;20;2;1
QUINTERO;15.834;1.122;1.221;1.081;1.149;1.204;1.193;1.066;967;1.012;1.049;1.082;961;796;635;517;407;205;125;32;10;0
