Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
PAÍS;8.972.014 ;572.087 ;592.068 ;561.560 ;608.633 ;685.116 ;731.885 ;648.278 ;612.169 ;611.829 ;598.280 ;615.102 ;548.373 ;447.353 ;349.743 ;283.000 ;208.063 ;144.450 ;98.332 ;40.854 ;11.668 ;3.171 
ARICA;111.975;7.770;8.347;7.770;8.008;8.652;8.797;8.306;7.707;7.607;7.224;7.122;6.176;5.138;4.310;3.502;2.356;1.629;999;396;119;40
CAMARONES;529;29;30;31;20;26;39;41;33;30;34;40;41;34;42;27;11;8;7;4;2;0
PUTRE;711;38;44;37;27;52;59;65;54;57;45;38;39;37;29;28;28;17;12;3;1;1
GENERAL LAGOS;272;25;16;13;14;10;12;14;22;25;12;24;21;19;15;17;4;6;3;0;0;0
IQUIQUE;96.571;6.685;6.937;6.170;6.201;7.444;8.745;8.237;7.644;6.717;5.919;5.887;5.488;4.690;3.373;2.343;1.648;1.155;803;377;93;15
ALTO HOSPICIO;54.169;5.134;5.145;4.687;4.767;4.857;4.999;4.320;3.994;3.607;3.366;3.004;2.240;1.565;1.000;685;376;228;131;45;13;6
POZO ALMONTE;6.724;636;644;555;543;466;568;585;497;439;346;314;327;284;161;133;100;74;32;15;4;1
CAMIÑA;593;41;58;43;45;40;41;30;38;35;39;37;31;27;25;22;21;12;3;4;1;0
COLCHANE;733;42;37;47;41;61;71;49;60;44;48;56;45;35;38;26;15;10;4;3;1;0
HUARA;1.229;102;95;100;71;78;101;87;71;64;68;84;55;79;59;48;26;16;16;6;3;0
PICA;2.746;199;191;171;155;175;285;228;198;176;185;134;151;121;122;83;74;46;33;10;6;3
ANTOFAGASTA;180.027;12.422;13.023;11.957;13.084;16.068;16.367;14.280;13.612;13.209;11.514;10.633;9.612;7.619;5.456;4.099;3.002;1.978;1.382;519;145;46
MEJILLONES;5.432;443;428;412;396;484;548;443;414;354;320;338;276;208;132;97;76;32;18;10;2;1
SIERRA GORDA;1.524;52;56;38;48;135;259;228;186;172;131;91;55;37;17;7;5;3;3;1;0;0
TALTAL;5.836;413;465;493;386;370;462;427;455;394;375;370;352;270;188;150;93;82;63;22;5;1
CALAMA;79.682;6.045;6.229;5.893;5.550;6.008;7.224;6.856;6.357;6.024;5.161;4.984;4.175;3.136;2.142;1.596;994;679;399;173;41;16
OLLAGÜE;114;7;12;6;4;5;13;13;11;9;6;3;5;4;4;8;2;1;1;0;0;0
SAN PEDRO DE ATACAMA;4.835;309;311;262;260;388;676;545;454;342;271;260;196;174;112;105;79;44;29;12;5;1
TOCOPILLA;12.705;974;1.091;906;849;802;1.103;938;812;798;781;765;753;642;478;372;256;184;152;38;8;3
MARÍA ELENA;2.365;159;189;151;165;187;228;219;164;192;163;184;135;97;58;31;21;9;9;2;1;1
COPIAPÓ;77.310;5.872;6.137;5.427;5.566;6.216;6.619;5.765;5.350;5.096;5.050;4.950;4.366;3.348;2.475;1.835;1.377;962;603;225;53;18
