Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
PAÍS;17.574.003;1.166.146;1.210.189;1.147.415;1.244.697;1.387.822;1.474.150;1.293.637;1.207.777;1.198.503;1.160.763;1.184.954;1.047.779;846.915;653.002;515.909;363.589;239.446;151.801;58.883;15.856;4.770
ARICA;221.364;15.893;17.044;15.726;17.176;18.043;18.174;16.498;15.050;14.750;13.820;13.323;11.657;10.173;8.080;6.535;4.260;2.737;1.618;604;153;50
CAMARONES;1.255;61;68;65;49;72;104;93;84;89;82;96;98;88;81;55;31;18;12;6;2;1
PUTRE;2.765;80;88;82;492;295;250;254;243;221;171;133;130;91;64;57;54;32;21;4;2;1
GENERAL LAGOS;684;41;34;28;41;58;60;50;55;49;39;41;45;44;34;33;15;10;6;1;0;0
IQUIQUE;191.468;13.871;14.137;12.580;12.798;15.018;17.641;16.417;15.037;13.303;11.615;11.478;10.540;9.303;6.462;4.551;2.884;1.899;1.242;538;124;30
ALTO HOSPICIO;108.375;10.499;10.637;9.549;9.603;9.907;10.004;8.604;7.795;6.976;6.453;6.019;4.493;3.220;2.003;1.274;653;373;207;70;21;15
POZO ALMONTE;15.711;1.253;1.285;1.081;1.391;1.230;1.368;1.404;1.246;1.144;890;850;789;650;381;323;199;139;58;23;5;2
CAMIÑA;1.250;91;101;83;91;82;85;71;63;90;83;82;71;61;52;50;42;28;13;7;3;1
COLCHANE;1.728;83;80;89;112;159;193;147;143;121;106;104;88;94;77;55;42;19;9;5;2;0
HUARA;2.730;200;225;196;147;176;214;194;174;149;176;184;155;153;136;100;70;36;28;12;4;1
PICA;9.296;395;414;354;333;466;1.025;1.130;1.105;1.003;913;651;475;329;237;174;132;73;54;21;9;3
ANTOFAGASTA;361.873;25.237;26.604;24.419;27.230;33.083;34.132;29.632;27.643;26.827;23.376;21.378;18.923;14.854;10.224;7.291;4.968;3.109;1.975;715;175;78
MEJILLONES;13.467;905;898;835;793;1.097;1.432;1.224;1.119;1.075;1.021;1.010;767;533;315;194;140;56;32;17;3;1
SIERRA GORDA;10.186;107;124;89;110;582;1.420;1.635;1.591;1.566;1.221;861;503;251;75;23;14;7;5;2;0;0
TALTAL;13.317;883;974;973;797;834;1.136;1.047;1.072;1.012;964;936;822;655;414;317;200;148;91;33;7;2
