Comuna;Joaquin Lavin;Ricardo Lagos;Michelle Bachelet;Sebastian Piñera;Eduardo Frei;Sebastian Piñera;Evelyn Matthei Fornet;Michelle Bachelet Jeria;Alejandro Guillier Alvarez;Sebastian Piñera Echenique
Algarrobo;3349;1779;2436;3643;2419;4174;2701;2577;2519;4138
Alhue;1142;1282;1344;1087;1469;1209;582;1545;1425;1028
Alto Biobio;;;903;976;833;1279;649;1051;701;1243
Alto Del Carmen;1126;1283;1696;1158;1459;1433;480;1319;847;1066
Alto Hospicio;;;7080;6210;;;3859;7364;7466;9969
Ancud;9951;9312;9621;9439;7532;11680;5269;8434;7774;8198
Andacollo;2990;3978;3990;2356;3758;2522;1153;3807;3130;2295
Angol;13938;10704;11085;13064;10504;13389;7896;11513;7184;15791
Antartica;26;4;10;16;11;39;15;6
Antofagasta;45763;66607;65072;42417;54381;49536;28109;45246;49813;58778
Antuco;717;1789;1694;766;1420;983;426;1425;827;1196
Arauco;6089;9130;9987;5719;9398;6593;4042;9161;6736;8341
Arica;39104;41365;40003;34272;34676;38072;20605;31957;33703;34075
Aysen;4267;5079;5183;4123;4278;5384;2176;5263;4852;3842
Buin;15876;14058;14895;15358;14244;17454;10918;15078;13361;19595
Bulnes;6245;5973;5775;5942;5658;5949;3317;6202;4314;6115
Cabildo;3677;6145;6494;3210;5954;3842;1651;6135;5056;3415
Cabo De Hornos;640;169;218;395;157;421;281;180;207;378
Cabrero;4900;8065;8368;4791;7066;5970;3054;7593;4665;7575
Calama;26739;31402;32683;21076;25331;24891;14260;23520;21768;29473
Calbuco;8270;5159;5818;7241;4395;8767;4017;6054;5230;7131
Caldera;2463;3625;3969;2562;3479;3145;1480;3656;3297;3025
Calera;11191;14736;13722;10419;12589;10814;5385;12834;10471;10509
Calera De Tango;4688;3626;4582;5139;4352;6397;4769;4894;4521;7692
Calle Larga;2798;3088;3324;2332;3411;2475;1184;3932;2744;2879
Camarones;525;462;685;669;726;857;265;346;468;467
Camiña;861;229;279;943;274;995;455;257;179;617
Canela;1471;3738;3516;1491;3477;1509;722;3431;2938;1528
Cañete;7408;6922;7615;7200;6859;7816;4182;7384;5529;8101
Carahue;7587;5418;6035;6906;5738;6909;3785;6537;4499;6595
Cartagena;5066;4292;4360;5339;4383;5858;3077;4535;4265;4674
Casablanca;5476;5041;5474;5252;5034;6189;3264;5886;4786;5990
Castro;7491;8750;8916;7634;7045;9443;4176;9189;8890;8030
Catemu;2873;3690;3732;3065;3621;3165;1296;3939;3010;2797
Cauquenes;15385;9209;8880;13623;8619;13480;7341;10044;5980;13399
Cerrillos;19166;21433;19703;16620;16923;17595;9683;17080;16410;16424
Cerro Navia;28789;45047;40043;23917;32968;25704;12870;33642;28476;23423
Chaiten;2040;1401;1390;1513;1247;1677;442;886;632;715
Chañaral;2631;4030;3818;2352;3143;2784;1226;2938;2379;2391
Chanco;3391;2366;2722;3350;3020;3244;2001;3186;1835;3346
Chepica;3688;3887;3651;4034;3966;3917;2352;3549;2476;4052
Chiguayante;11259;18169;18540;10798;16746;13455;8719;17129;16324;17611
Chile Chico;1177;1271;1432;1046;1188;1332;519;1269;1065;771
Chillan;37706;41066;37758;37264;35712;39422;23334;39213;33698;43282
Chillan Viejo;3562;3838;4585;5106;4780;5751;3194;6199;4848;6488
Chimbarongo;8526;7944;8416;7753;8074;8352;4178;8415;6247;8448
Cholchol;;;2300;2632;2406;3080;1791;2770;2073;3084
Chonchi;2789;2683;3205;2398;2686;3308;1261;3645;2818;3033
Cisnes;1060;883;997;1181;826;1435;586;978;821;984
Cobquecura;2028;1259;1565;1890;1570;2019;1042;1749;1319;1924
Cochamo;1582;512;670;1354;537;1559;652;730;578;967
Cochrane;780;557;625;760;572;895;470;593;605;745
Codegua;2667;2876;3124;2682;3036;3029;1382;3360;2443;3012
Coelemu;4386;5131;5124;4058;4909;4377;2345;5431;3594;4831
Coihueco;6214;5254;5653;5883;6090;5642;3366;6450;4009;7017
Coinco;2074;1932;1946;1983;1839;2235;1083;1949;1546;1942
Colbun;3900;5425;5409;3996;5710;3862;1603;6049;3380;4789
Colchane;674;122;117;521;91;599;252;132;76;814
Colina;16719;11116;13814;15657;12305;19301;14617;13938;10924;29052
Collipulli;5139;6769;6648;4767;5993;5367;2812;6620;4119;6148
Coltauco;3707;4114;4541;3185;4464;3552;1877;4497;3348;3857
Combarbala;2452;4862;4858;2077;4512;2210;1070;4345;3557;1980
Concepcion;53197;64501;61403;50120;52676;56705;34280;47123;44174;57087
Conchali;38063;47167;42153;30749;34435;31921;16832;32630;30608;27084
Concon;7890;6078;7315;8271;7117;10008;7905;7414;7509;13491
Constitucion;8023;12984;12029;8851;11283;9311;4831;12134;8676;10679
Contulmo;2016;1353;1664;1647;1522;1880;986;1593;1202;1887
Copiapo;21578;29505;29232;21278;25858;24860;13108;24316;21269;31266
Coquimbo;26412;34509;35975;28196;33920;31900;18160;35404;31154;38633
Coronel;13461;30312;27685;15926;24888;18627;10690;23693;19562;22427
Corral;1258;1607;1782;1241;1742;1481;583;1784;1691;982
Coyhaique;12291;10800;11546;10187;9099;12852;5896;11498;10970;10173
Cunco;6192;3448;3708;5561;3712;5601;2976;4240;3277;5211
Curacautin;5714;4099;4274;4870;3944;5074;2681;4364;2795;5248
Curacavi;5744;5806;6652;5226;6266;6057;3916;6905;6029;6953
Curaco De Velez;926;810;1173;768;1115;981;352;1131;963;735
Curanilahue;5268;11359;10926;5368;7834;8248;3598;8811;6511;8056
Curarrehue;2177;864;1222;2451;1308;2699;1231;1505;1155;2289
Curepto;2984;3719;3630;2663;3682;2592;1257;3529;2693;2418
Curico;28179;27674;29111;26420;28977;27634;17014;30416;26229;32440
Dalcahue;2705;1606;2102;2552;1928;3036;1402;2795;2367;2363
Diego De Almagro;2573;6203;5742;1644;4307;1948;732;3714;3031;1684
Doñihue;3886;5542;6117;3685;5471;4464;2231;5487;4153;4620
El Bosque;38588;43356;41712;32704;35448;34926;18320;36870;33742;30967
El Carmen;5208;2410;2662;4625;2577;4672;2504;3110;1996;4473
El Monte;8010;5637;6849;6838;6611;7499;4292;7410;6384;7349
El Quisco;2732;2214;2920;3404;2887;3944;2222;3062;3170;3489
El Tabo;2237;1943;2518;2833;2527;3234;1813;2607;2635;2694
Empedrado;1190;1078;1258;1418;1375;1424;751;1435;545;1819
Ercilla;1934;2118;2359;1859;2054;2165;1276;1999;1445;2033
Estacion Central;34461;44720;39894;28701;34136;30281;16921;32739;30991;26034
Florida;3806;3009;3251;3342;3290;3305;1510;3531;2020;3267
Freire;7118;5184;5649;6279;5512;6440;3204;5651;4113;6093
Freirina;1134;1862;1885;1134;1892;1260;460;1827;1522;1147
Fresia;3683;3567;3608;3857;3443;4057;2030;3929;3017;3390
Frutillar;3479;3747;4260;3301;4214;3788;2424;4708;3714;4534
Futaleufu;804;311;429;782;419;835;425;569;381;639
Futrono;4637;2286;3546;3257;3356;3496;1957;3377;2507;4119
Galvarino;3535;2661;3458;2833;3111;3334;1706;3429;2662;2867
General Lagos;406;168;262;426;271;329;147;171;150;168
Gorbea;5853;3013;3050;5580;3001;5551;3163;3471;2242;5524
Graneros;5928;8341;8049;5892;7252;6797;3618;7902;6385;7045
Guaitecas;400;250;300;379;239;496;177;333;255;362
Hijuelas;4699;3605;3643;4439;3666;4480;2229;4158;3000;4297
Hualaihue;2461;1224;1853;2508;1686;2876;1102;1928;1395;1999
Hualañe;2457;3439;3571;2220;3745;2077;1192;3717;2696;2594
Hualpen;;;29320;16119;;;9795;22625;19246;20516
Hualqui;4255;5834;6300;3968;6032;4761;2379;6086;4241;5139
Huara;1055;988;942;1203;839;1365;458;732;554;934
Huasco;1486;2772;2708;1523;2528;1861;750;2436;1986;1709
Huechuraba;12490;18483;18422;11842;16145;14357;9844;17729;17699;18647
Illapel;4480;10337;9207;4533;8171;5167;2362;8633;7071;5029
Independencia;21907;22569;20700;18088;18261;20445;11768;17585;17330;17653
Iquique;40825;39112;32498;36121;32695;49717;20860;24943;27026;38382
Isla De Maipo;6037;5944;6587;5989;6179;6771;4043;6801;5672;7631
Isla De Pascua;680;728;914;748;750;1134;415;933;1009;719
Juan Fernandez;180;106;174;174;154;219;93;149;161;149
La Cisterna;28995;27567;25251;23721;20839;24660;14754;19784;20535;22380
La Cruz;3714;3139;3208;3559;3079;3984;2487;3443;3230;4739
La Estrella;1240;1077;1212;1088;1233;1086;577;1088;834;1067
La Florida;69643;85019;86269;62869;74765;70656;45954;75363;82345;77064
La Granja;25658;34526;32540;21064;28013;22309;11232;27773;26415;20521
La Higuera;459;1655;1542;551;1611;699;334;1516;869;991
La Ligua;7687;8411;8495;7443;8793;7461;3950;9180;7690;7824
La Pintana;22881;34665;34097;19601;29793;21246;10485;32657;28638;22084
La Reina;30641;24981;25368;27614;22290;30439;23179;20529;22044;34035
La Serena;30339;39838;39315;31550;37237;35069;21703;38189;34947;43465
La Union;13245;7934;8629;11114;8052;11386;5413;8887;6933;10324
Lago Ranco;3497;1429;1869;3061;1880;3056;1832;2171;1547;2902
Lago Verde;334;194;219;316;198;381;186;203;200;288
Laguna Blanca;167;164;221;195;218;321;86;141;123;171
Laja;5435;7540;7166;4824;6569;5136;2855;5848;3529;6819
Lampa;7929;6594;8138;8134;8643;9951;6715;10365;10276;14390
Lanco;4769;3119;3560;4572;3483;4738;2600;4225;3393;4312
Las Cabras;5771;4626;5456;4990;5662;5236;2833;5742;4322;5034
Las Condes;92944;36061;37371;87521;32038;100714;95547;30895;29782;133436
Lautaro;8430;7404;8302;7602;7488;8647;4829;8456;5827;9929
Lebu;4503;7411;7157;4457;5760;5727;2288;6707;4903;4990
Licanten;1759;2330;2462;1700;2606;1726;805;2435;1804;1829
Limache;11237;7804;8276;10330;7566;11453;6053;8478;7978;10106
Linares;21696;20668;19227;22385;19307;22574;12720;21376;15140;24309
Litueche;1553;1439;2018;1515;1988;1811;946;2017;1451;1894
Llanquihue;3529;4249;4952;3095;4574;3750;1953;5170;3979;3917
Llay-Llay;5652;5934;6142;5032;5972;5228;2462;6612;5449;4629
Lo Barnechea;17791;8684;9379;20360;8012;26322;26894;7578;6645;42203
Lo Espejo;25659;36699;33120;19807;29034;20223;9059;27952;24053;16672
Lo Prado;24498;35545;31984;20911;26665;22119;11588;26741;24841;19904
Lolol;1673;2183;2289;1664;2194;1912;1056;2278;1474;1891
Loncoche;6861;5697;5190;6539;4738;6731;3507;5437;4232;6132
Longavi;7874;6745;7247;7329;7505;7238;3645;8238;4499;8165
Lonquimay;3283;1347;1903;2718;1770;3131;1976;2016;1652;3179
Los Alamos;2865;5403;5964;3261;4952;4365;2408;5392;3751;5159
Los Andes;14271;15139;15054;12806;14257;13835;7508;14059;12567;14979
Los Angeles;44539;31883;33498;40483;29323;45151;26586;33517;21049;55010
Los Lagos;4869;4816;4818;4460;4705;4608;2187;5364;3704;4639
Los Muermos;5720;2807;3462;4886;3280;5231;2820;4032;2612;5185
Los Sauces;2399;2146;2402;2060;2073;2485;1238;2463;1464;2527
