comuna,porcentaje,categoria
Algarrobo,0.03275,0
Alhue,0.06713,0
Alto Biobio,0.39734,3
Alto Hospicio,0.07755,0
Alto del Carmen,0.15273,1
Ancud,0.14519,1
Andacollo,0.14849,1
Angol,0.15559,1
Antofagasta,0.05064,0
Antuco,0.28763,2
Arauco,0.15933,1
Arica,0.08343,0
Aysen,0.06809,0
Buin,0.08041,0
Bulnes,0.14881,1
Cabildo,0.16371,1
Cabo de Hornos,0.02947,0
Cabrero,0.11203,1
Calama,0.04585,0
Calbuco,0.13466,1
Caldera,0.10441,1
Calera,0.15768,1
Calera de Tango,0.0353,0
Calle Larga,0.1718,1
Camarones,0.088,0
Caminia,0.26446,2
Canela,0.25102,2
Caniete,0.15804,1
Carahue,0.24397,2
Cartagena,0.06865,0
Casablanca,0.08922,0
Castro,0.10126,1
Catemu,0.16868,1
Cauquenes,0.2,2
Cerrillos,0.06476,0
Cerro Navia,0.07586,0
Chaiten,0.12169,1
Chanco,0.20374,2
Chaniaral,0.12069,1
Chepica,0.1195,1
Chiguayante,0.08715,0
Chile Chico,0.05257,0
Chillan,0.11666,1
Chillan Viejo,0.19103,1
Chimbarongo,0.15857,1
Cholchol,0.41605,4
Chonchi,0.12779,1
Cisnes,0.06502,0
Cobquecura,0.34175,3
Cochamo,0.13595,1
Cochrane,0.05884,0
Codegua,0.08943,0
Coelemu,0.18278,1
Coihueco,0.22031,2
Coinco,0.14439,1
Colbun,0.25092,2
Colchane,0.13948,1
Colina,0.06396,0
Collipulli,0.24028,2
Coltauco,0.14443,1
Combarbala,0.1621,1
Concepcion,0.07695,0
Conchali,0.07432,0
Concon,0.02416,0
Constitucion,0.07541,0
Contulmo,0.24216,2
Copiapo,0.06261,0
Coquimbo,0.13409,1
Coronel,0.11355,1
Corral,0.23148,2
Coyhaique,0.02784,0
Cunco,0.19654,1
Curacautin,0.14215,1
Curacavi,0.07439,0
Curaco de Velez,0.1381,1
Curanilahue,0.12304,1
Curarrehue,0.22847,2
Curepto,0.15418,1
Curico,0.09851,0
Dalcahue,0.11601,1
Diego de Almagro,0.07562,0
Doniihue,0.07491,0
El Bosque,0.09584,0
El Carmen,0.28767,2
El Monte,0.08728,0
El Quisco,0.03433,0
El Tabo,0.06202,0
Empedrado,0.16626,1
Ercilla,0.26687,2
Estacion Central,0.05807,0
Florida,0.15873,1
Freire,0.2402,2
Freirina,0.15727,1
Fresia,0.18037,1
Frutillar,0.10357,1
Futaleufu,0.10715,1
Futrono,0.14073,1
Galvarino,0.37286,3
General Lagos,0.20997,2
Gorbea,0.11297,1
